2021-12-12 13:12:729 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:153 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> xpath: //button[@id='save']]
2021-12-12 13:12:207 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: keywords]
2021-12-12 13:12:259 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: location]
2021-12-12 13:12:315 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: distance]
2021-12-12 13:12:365 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: toggle-hp-search]
2021-12-12 13:12:580 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: salarymin]
2021-12-12 13:12:643 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:674 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: salarytype]
2021-12-12 13:12:720 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: tempperm]
2021-12-12 13:12:778 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> id: hp-search-btn]
2021-12-12 13:12:858 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (ba816e42fd9b16083fa4497952aee5cd)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:492 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:838 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> xpath: //button[@id='save']]
2021-12-12 13:12:899 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: keywords]
2021-12-12 13:12:939 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: location]
2021-12-12 13:12:967 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: distance]
2021-12-12 13:12:05 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: toggle-hp-search]
2021-12-12 13:12:188 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: salarymin]
2021-12-12 13:12:240 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-12 13:12:268 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: salarytype]
2021-12-12 13:12:310 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: tempperm]
2021-12-12 13:12:356 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> id: hp-search-btn]
2021-12-12 13:12:906 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (0351864d229a06b07788d275f74000e0)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:521 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:113 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> xpath: //button[@id='save']]
2021-12-12 13:12:166 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: keywords]
2021-12-12 13:12:226 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: location]
2021-12-12 13:12:340 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: distance]
2021-12-12 13:12:395 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: toggle-hp-search]
2021-12-12 13:12:596 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: salarymin]
2021-12-12 13:12:639 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-12 13:12:667 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: salarytype]
2021-12-12 13:12:695 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: tempperm]
2021-12-12 13:12:749 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> id: hp-search-btn]
2021-12-12 13:12:151 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (bb1fe43e91f03b3020aaf441954e0e6d)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:785 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:376 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> xpath: //button[@id='save']]
2021-12-12 13:12:425 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: keywords]
2021-12-12 13:12:519 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: location]
2021-12-12 13:12:591 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: distance]
2021-12-12 13:12:675 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: toggle-hp-search]
2021-12-12 13:12:854 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: salarymin]
2021-12-12 13:12:892 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:921 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: salarytype]
2021-12-12 13:12:964 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: tempperm]
2021-12-12 13:12:18 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: hp-search-btn]
2021-12-12 13:12:500 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:154 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:684 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> xpath: //button[@id='save']]
2021-12-12 13:12:737 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: keywords]
2021-12-12 13:12:844 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: location]
2021-12-12 13:12:896 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: distance]
2021-12-12 13:12:958 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: toggle-hp-search]
2021-12-12 13:12:58 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: salarymin]
2021-12-12 13:12:109 INFO  HomePage :101 - Entering maximum salary: 400
2021-12-12 13:12:169 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: salarytype]
2021-12-12 13:12:214 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: tempperm]
